ID_grid,idx,ID,yearID,frac_minus2,frac_minus1,frac_current,frac_plus1,fracLag_minus2,fracLag_minus1,fracLag_current,fracLag_plus1,clust_minus2,clust_minus1,clust_current,clust_plus1,data_split
316,316,213909,2012,0.10256410256410257,0.047619047619047616,0.13333333333333336,0.1388888888888889,0.054487179487179495,0.08928571428571427,0.04583333333333333,0.06250000000000001,0,0,0,0,test
316,316,213909,2013,0.047619047619047616,0.13333333333333336,0.1388888888888889,0.07894736842105263,0.08928571428571427,0.04583333333333333,0.06250000000000001,0.036184210526315784,0,0,0,0,test
316,316,213909,2014,0.13333333333333336,0.1388888888888889,0.07894736842105263,0.16304347826086957,0.04583333333333333,0.06250000000000001,0.036184210526315784,0.08016304347826085,0,0,0,1,test
316,316,213909,2015,0.1388888888888889,0.07894736842105263,0.16304347826086957,0.09210526315789475,0.06250000000000001,0.036184210526315784,0.08016304347826085,0.05016447368421053,0,0,1,1,test
316,316,213909,2016,0.07894736842105263,0.16304347826086957,0.09210526315789475,0,0.036184210526315784,0.08016304347826085,0.05016447368421053,0.019911504424778768,0,1,1,0,test
317,317,213940,2012,0.025641025641025644,0,0.01666666666666667,0,0.038461538461538464,0.005952380952380952,0.02708333333333333,0.03125000000000001,0,0,0,0,train
317,317,213940,2013,0,0.01666666666666667,0,0.09210526315789473,0.005952380952380952,0.02708333333333333,0.03125000000000001,0.019736842105263157,0,0,0,0,train
317,317,213940,2014,0.01666666666666667,0,0.09210526315789473,0.010869565217391304,0.02708333333333333,0.03125000000000001,0.019736842105263157,0.027173913043478264,0,0,0,0,train
317,317,213940,2015,0,0.09210526315789473,0.010869565217391304,0.006578947368421053,0.03125000000000001,0.019736842105263157,0.027173913043478264,0.018092105263157895,0,0,0,0,train
317,317,213940,2016,0.09210526315789473,0.010869565217391304,0.006578947368421053,0.008849557522123895,0.019736842105263157,0.027173913043478264,0.018092105263157895,0.001106194690265487,0,0,0,0,train
318,318,213948,2012,0,0,0,0,0.003663003663003663,0.006802721088435373,0,0,0,0,0,0,train
318,318,213948,2013,0,0,0,0,0.006802721088435373,0,0,0.0018796992481203006,0,0,0,0,train
318,318,213948,2014,0,0,0,0,0,0,0.0018796992481203006,0.006211180124223602,0,0,0,0,train
318,318,213948,2015,0,0,0,0,0,0.0018796992481203006,0.006211180124223602,9.398496240601504e-4,0,0,0,0,train
318,318,213948,2016,0,0,0,0,0.0018796992481203006,0.006211180124223602,9.398496240601504e-4,0,0,0,0,0,train
319,319,213981,2012,0,0,0.01666666666666667,0.027777777777777776,0.038461538461538464,0.07738095238095238,0.05208333333333333,0.03819444444444445,0,0,0,0,test
319,319,213981,2013,0,0.01666666666666667,0.027777777777777776,0,0.07738095238095238,0.05208333333333333,0.03819444444444445,0.05592105263157894,0,0,0,0,test
319,319,213981,2014,0.01666666666666667,0.027777777777777776,0,0.021739130434782608,0.05208333333333333,0.03819444444444445,0.05592105263157894,0.06657608695652174,0,0,0,0,test
